Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	2121	0.21	0.933	0.638	0.31	7.86	8.88e-15
1q	1955	0.64	30	0	0.34	6.97	6.33e-12
2p	924	0.12	-7.12	1	0.19	-2.92	1
2q	1556	0.07	-9.22	1	0.21	-0.518	1
3p	1062	0.14	-5.62	1	0.20	-2.01	1
3q	1139	0.20	-1.77	1	0.12	-6.82	1
4p	489	0.10	-8.63	1	0.34	5.63	2.59e-08
4q	1049	0.09	-8.26	1	0.30	4.49	8.83e-06
5p	270	0.30	2.43	0.0335	0.20	-3.34	1
5q	1427	0.22	0.191	1	0.26	2.45	0.0135
6p	1173	0.21	-1.09	1	0.23	0.367	0.549
6q	839	0.17	-4.23	1	0.31	4.26	2.28e-05
7p	641	0.29	2.63	0.0247	0.16	-5.22	1
7q	1277	0.23	0.716	0.79	0.16	-3.86	1
8p	580	0.31	3.04	0.0079	0.57	19.7	0
8q	859	0.51	17.2	0	0.25	0.644	0.452
9p	422	0.17	-5.03	1	0.34	5.49	5.39e-08
9q	1113	0.14	-5.39	1	0.30	4.44	1.06e-05
10p	409	0.21	-2.69	1	0.22	-2.24	1
10q	1268	0.13	-6.1	1	0.24	1.04	0.272
11p	862	0.16	-4.96	1	0.30	3.57	0.000379
11q	1515	0.13	-5.17	1	0.38	11.2	0
12p	575	0.23	-1.62	1	0.18	-4.08	1
12q	1447	0.19	-1.88	1	0.14	-5.12	1
13q	654	0.14	-5.5	1	0.44	12.6	0
14q	1341	0.18	-2.86	1	0.27	2.92	0.00351
15q	1355	0.12	-6.2	1	0.32	6.47	1.77e-10
16p	872	0.42	10.2	0	0.42	10.2	0
16q	702	0.21	-1.43	1	0.65	26.1	0
17p	683	0.14	-4.58	1	0.62	24.9	0
17q	1592	0.25	2.47	0.0335	0.34	8.2	5.55e-16
18p	143	0.22	-2.63	1	0.37	6.17	1.12e-09
18q	446	0.19	-3.61	1	0.35	5.85	7.67e-09
19p	995	0.19	-2.64	1	0.23	-0.581	1
19q	1709	0.23	1.3	0.385	0.22	0.576	0.471
20p	355	0.41	9.65	0	0.16	-5.52	1
20q	753	0.43	12.6	0	0.09	-7.92	1
21q	509	0.22	-1.99	1	0.21	-2.71	1
22q	921	0.17	-3.57	1	0.48	15.9	0
Xq	1312	0.17	-3.43	1	0.23	0.38	0.549
