NodeName	isMutated	degree	neighborVec	pvalue	Gene	EntrezID
ABL1(25)	0	88	3	0.71	ABL1	25
AKAP3(10566)	0	7	0	1	AKAP3	10566
AKT1(207)	0	107	9	0.05	AKT1	207
APLP2(334)	0	10	1	0.35	APLP2	334
APPL(26060)	0	11	1	0.37	APPL	26060
AR(367)	0	129	8	0.18	AR	367
ATN1(1822)	0	89	4	0.46	ATN1	1822
ATP2B2(491)	0	6	0	1	ATP2B2	491
ATXN1(6310)	0	159	4	0.87	ATXN1	6310
BCL10(8915)	0	22	1	0.52	BCL10	8915
BRCA1(672)	1	104	7	0.17	BRCA1	672
BRF1(2972)	0	10	0	1	BRF1	2972
CASP2(835)	0	20	0	1	CASP2	835
CASP3(836)	0	126	7	0.28	CASP3	836
CASP8(841)	0	67	3	0.51	CASP8	841
CASP9(842)	0	36	0	1	CASP9	842
CBFA2T2(9139)	0	10	1	0.35	CBFA2T2	9139
CBFB(865)	0	6	0	1	CBFB	865
CBL(867)	0	81	1	0.98	CBL	867
CCNA1(8900)	0	23	1	0.62	CCNA1	8900
CCNA2(890)	0	26	2	0.35	CCNA2	890
CCND1(595)	0	39	4	0.08	CCND1	595
CCND2(894)	0	10	0	1	CCND2	894
CCND3(896)	0	24	0	1	CCND3	896
CDC2(983)	0	114	8	0.09	CDC2	983
CDC42(998)	0	79	4	0.4	CDC42	998
CDH1(999)	0	31	2	0.34	CDH1	999
CDK2(1017)	0	71	4	0.32	CDK2	1017
CDK4(1019)	0	40	2	0.47	CDK4	1019
CDK5(1020)	0	46	2	0.55	CDK5	1020
CDK6(1021)	0	18	0	1	CDK6	1021
CDK9(1025)	0	29	1	0.64	CDK9	1025
CDKN1A(1026)	0	55	3	0.34	CDKN1A	1026
CDKN1B(1027)	0	34	1	0.76	CDKN1B	1027
CEBPB(1051)	0	50	4	0.22	CEBPB	1051
CEBPE(1053)	0	14	1	0.44	CEBPE	1053
CHD3(1107)	0	75	2	0.76	CHD3	1107
CHEK1(1111)	0	18	0	1	CHEK1	1111
CHGB(1114)	0	22	2	0.32	CHGB	1114
CHUK(1147)	0	50	3	0.31	CHUK	1147
COPS5(10987)	0	28	2	0.31	COPS5	10987
COPS6(10980)	0	73	4	0.39	COPS6	10980
CREBBP(1387)	0	199	10	0.34	CREBBP	1387
CRSP3(9439)	0	8	0	1	CRSP3	9439
CSNK2A1(1457)	0	159	15	0	CSNK2A1	1457
CTCF(10664)	0	6	0	1	CTCF	10664
CTNNB1(1499)	0	120	7	0.2	CTNNB1	1499
DLG1(1739)	0	65	3	0.54	DLG1	1739
DVL2(1856)	0	51	0	1	DVL2	1856
E2F1(1869)	0	41	3	0.22	E2F1	1869
E4F1(1877)	0	6	0	1	E4F1	1877
EFEMP2(30008)	0	33	2	0.43	EFEMP2	30008
EGFR(1956)	0	138	10	0.07	EGFR	1956
EP300(2033)	0	204	13	0.12	EP300	2033
ESR1(2099)	1	164	9	0.17	ESR1	2099
ESR2(2100)	0	46	2	0.56	ESR2	2100
ETS1(2113)	0	28	2	0.32	ETS1	2113
ETS2(2114)	0	17	2	0.21	ETS2	2114
FOS(2353)	1	48	3	0.38	FOS	2353
FOXA1(3169)	1	2	1	0.14	FOXA1	3169
GAB2(9846)	0	23	1	0.66	GAB2	9846
GATA3(2625)	1	6	1	0.2	GATA3	2625
GNA13(10672)	0	30	2	0.33	GNA13	10672
GPS2(2874)	0	16	1	0.42	GPS2	2874
GRB2(2885)	0	188	4	0.98	GRB2	2885
GSK3B(2932)	0	59	6	0.05	GSK3B	2932
GTF2H1(2965)	0	26	5	0.01	GTF2H1	2965
HD(3064)	0	59	1	0.92	HD	3064
HDAC3(8841)	0	57	4	0.19	HDAC3	8841
HIPK2(28996)	0	27	1	0.64	HIPK2	28996
HIST1H1C(3006)	0	2	0	1	HIST1H1C	3006
HIST2H2BE(8349)	0	18	2	0.23	HIST2H2BE	8349
HMGB1(3146)	0	52	1	0.91	HMGB1	3146
HRAS(3265)	0	65	5	0.09	HRAS	3265
HSPCA(3320)	0	74	6	0.08	HSPCA	3320
HSPCB(3326)	0	21	3	0.08	HSPCB	3326
IRAK1(3654)	0	36	2	0.45	IRAK1	3654
IRS1(3667)	0	60	5	0.07	IRS1	3667
IRS2(8660)	0	35	4	0.09	IRS2	8660
IRS4(8471)	0	14	4	0.01	IRS4	8471
JUN(3725)	0	109	7	0.16	JUN	3725
KCNB2(9312)	0	1	0	1	KCNB2	9312
LCK(3932)	0	98	4	0.63	LCK	3932
MAGI2(9863)	0	13	1	0.39	MAGI2	9863
MAP2K4(6416)	0	22	1	0.64	MAP2K4	6416
MAP3K1(4214)	1	1	1	0.12	MAP3K1	4214
MAP3K8(1326)	0	13	0	1	MAP3K8	1326
MAPK1(5594)	0	156	5	0.77	MAPK1	5594
MAPK10(5602)	0	15	0	1	MAPK10	5602
MAPK14(1432)	0	76	9	0.01	MAPK14	1432
MAPK8(5599)	0	63	5	0.12	MAPK8	5599
MAPK8IP3(23162)	0	21	0	1	MAPK8IP3	23162
MAPK9(5601)	0	37	1	0.82	MAPK9	5601
MCM7(4176)	0	36	3	0.25	MCM7	4176
MDM2(4193)	0	39	3	0.27	MDM2	4193
MDM4(4194)	0	16	0	1	MDM4	4194
MNAT1(4331)	0	18	3	0.03	MNAT1	4331
MNDA(4332)	0	6	0	1	MNDA	4332
MST1R(4486)	0	20	1	0.48	MST1R	4486
MYB(4602)	0	17	0	1	MYB	4602
MYST4(23522)	0	3	0	1	MYST4	23522
NCL(4691)	0	23	1	0.67	NCL	4691
NCOA6(23054)	0	28	1	0.72	NCOA6	23054
NCOR1(9611)	0	47	4	0.15	NCOR1	9611
NF1(4763)	0	7	0	1	NF1	4763
NFKBIA(4792)	0	59	2	0.69	NFKBIA	4792
NPM1(4869)	0	22	0	1	NPM1	4869
NR3C1(2908)	0	83	1	1	NR3C1	2908
PAX5(5079)	0	14	0	1	PAX5	5079
PDGFRB(5159)	0	53	4	0.17	PDGFRB	5159
PHB(5245)	0	14	0	1	PHB	5245
