cytoband	11q13.3	8q24.21	8p11.23	17q12	17q23.1	20q13.2	1q21.3	6q21	15q26.3	3q26.32	12q15	1p22.3	1q44	12p13.33	8p11.21	10q22.3	11q14.1	10p15.1	6p23	11p13	4q13.3	14q21.1	19q12	19q13.42	3p26.1	13q12.3	13q34	17p11.2	
q value	1.3335e-173	1.8717e-77	1.0805e-78	9.1914e-125	8.9123e-69	1.2486e-41	5.3689e-32	9.9126e-14	7.6758e-12	1.683e-11	1.7897e-11	1.0946e-10	3.1641e-17	3.5692e-05	3.8594e-29	4.573e-05	1.384e-55	0.00073328	0.0011615	0.0023667	0.0054045	0.0060331	0.00021674	0.0028092	0.018707	0.023521	0.022038	0.14154	
residual q value	1.082e-158	1.8717e-77	1.7757e-69	1.9675e-66	1.0754e-46	1.2486e-41	9.3144e-23	9.9126e-14	7.6758e-12	1.683e-11	1.7897e-11	1.197e-10	4.0142e-08	3.5692e-05	4.523e-05	4.573e-05	0.00021241	0.00073328	0.0011615	0.0029197	0.0054045	0.0060331	0.0060331	0.012845	0.018707	0.086012	0.12926	0.16723	
wide peak boundaries	chr11:69400218-69487994	chr8:128657453-128779930	chr8:37487106-37610505	chr17:37789433-37899687	chr17:57921224-57946881	chr20:52145875-52373091	chr1:150345471-150706805	chr6:107206856-107290700	chr15:98907098-99674749	chr3:176494151-179797799	chr12:69265279-69983634	chr1:85979933-86002734	chr1:233299470-249250621	chr12:1-1291266	chr8:42155813-42254056	chr10:80467192-82012440	chr11:76855255-78169088	chr10:3730052-6398978	chr6:12431411-15555356	chr11:32402479-33859313	chr4:73389847-75049413	chr14:37963714-38073152	chr19:29772775-30862416	chr19:55524376-58776467	chr3:3911146-5277098	chr13:30394777-31229520	chr13:93345298-115169878	chr17:20801837-21012802	
genes in wide peak	CCND1	MYC	ERLIN2	ERBB2	TUBD1	ZNF217	hsa-mir-4257	hsa-mir-587	IGF1R	ACTL6A	hsa-mir-1279	DDAH1	hsa-mir-3124	NINJ2	IKBKB	ANXA11	CLNS1A	hsa-mir-3155	JARID2	CD59	AFM	FOXA1	CCNE1	hsa-mir-1274b	ITPR1	HMGB1	hsa-mir-1267	USP22	
	ORAOV1		ZNF703	GRB7			CTSS	LOC100422737	SYNM	NDUFB5	CPM		hsa-mir-3123	RAD52	POLB	SFTPD	MYO7A	CALML3	CD83	CSTF3	AFP	MIPOL1	URI1	FKBP1AP1	SETMAR	UBL3	hsa-mir-4306		
			LOC728024	PNMT			ECM1		PGPEP1L	PIK3CA	LYZ		hsa-mir-1537	KDM5A	VDAC3	MBL1P	NDUFC2	AKR1C4	RANBP9	WT1	ALB		POP4	IL11	BHLHE40	USPL1	hsa-mir-623		
				TCAP			ENSA		FAM169B	USP13	YEATS4		ACTN2	SLC6A12	DKK4	PPIF	PAK1	KLF6	SIRT5	HIPK3	CXCL1		PLEKHF1	PEG3	EDEM1	KATNAL1	hsa-mir-3170		
				STARD3			MCL1		MIR4714	KCNMB2	CCT2		ADSS	SLC6A13		ZMIZ1	THRSP	AKR1C1	TBC1D7	EIF3M	CXCL2		C19orf12	PTPRH	ARL8B	LOC440131	ATP4B		
				PPP1R1B			RPRD2			KCNMB3	FRS2		CHML	ERC1		FAM213A	GAB2	AKR1C2	NOL7	C11orf41	CXCL3		LOC284395	RPL28	SUMF1	LINC00426	COL4A1		
				MIEN1			ADAMTSL4			ZNF639	CPSF6		LYST	WNK1		EIF5AL1	C11orf67	GDI2	GFOD1	FBXO3	IL8		VSTM2B	AURKC	EGOT		COL4A2		
				PGAP3			GOLPH3L			PEX5L	MIR1279		CHRM3	CCDC77		LOC219347	RSF1	IL2RA	CCDC90A	WT1-AS	PF4			SYT5	LOC100507582		DCT		
				MIR4728			TARS2			MFN1	MIR3913-2		FH	B4GALNT3		PLAC9	USP35	IL15RA	DTNBP1	TCP11L1	PF4V1			TNNI3			GPR183		
							HORMAD1			MRPL47	MIR3913-1		GNG4	IQSEC3		ZCCHC24	KCTD14	PFKFB3	RNF182	PRRG4	PPBP			TNNT1			EFNB2		
							MIR4257			GNB4			HNRNPU	LOC574538		LOC283050	ALG8	AKR1C3	PHACTR1	QSER1	CXCL6			ZNF17			ERCC5		
										ZMAT3			KCNK1	FAM138D		LOC439990	NARS2	NET1	LOC100130357	DEPDC7	CXCL5			ZNF134			F7		
