NodeName	isMutated	degree	neighborVec	pvalue	Gene	EntrezID
ABL1(25)	0	88	5	0.16	ABL1	25
AKAP3(10566)	0	7	0	1	AKAP3	10566
AKT1(207)	0	107	6	0.1	AKT1	207
APLP2(334)	0	10	1	0.32	APLP2	334
APPL(26060)	0	11	1	0.43	APPL	26060
AR(367)	0	129	7	0.12	AR	367
ATN1(1822)	0	89	5	0.22	ATN1	1822
ATP2B2(491)	0	6	0	1	ATP2B2	491
ATXN1(6310)	0	159	4	0.78	ATXN1	6310
BCL10(8915)	0	22	0	1	BCL10	8915
BRCA1(672)	0	104	4	0.42	BRCA1	672
BRF1(2972)	0	10	2	0.06	BRF1	2972
CASP2(835)	0	20	1	0.51	CASP2	835
CASP3(836)	1	126	5	0.33	CASP3	836
CASP8(841)	0	67	5	0.11	CASP8	841
CASP9(842)	0	36	2	0.32	CASP9	842
CBFA2T2(9139)	0	10	0	1	CBFA2T2	9139
CBFB(865)	0	6	0	1	CBFB	865
CBL(867)	0	81	3	0.55	CBL	867
CCNA1(8900)	0	23	2	0.18	CCNA1	8900
CCNA2(890)	0	26	2	0.21	CCNA2	890
CCND1(595)	0	39	2	0.39	CCND1	595
CCND2(894)	0	10	2	0.04	CCND2	894
CCND3(896)	0	24	1	0.54	CCND3	896
CDC2(983)	0	114	7	0.04	CDC2	983
CDC42(998)	0	79	6	0.09	CDC42	998
CDH1(999)	0	31	2	0.26	CDH1	999
CDK2(1017)	0	71	4	0.13	CDK2	1017
CDK4(1019)	0	40	3	0.15	CDK4	1019
CDK5(1020)	0	46	4	0.03	CDK5	1020
CDK6(1021)	0	18	2	0.14	CDK6	1021
CDK9(1025)	0	29	2	0.2	CDK9	1025
CDKN1A(1026)	0	55	3	0.27	CDKN1A	1026
CDKN1B(1027)	1	34	2	0.33	CDKN1B	1027
CEBPB(1051)	0	50	3	0.19	CEBPB	1051
CEBPE(1053)	0	14	1	0.35	CEBPE	1053
CHD3(1107)	0	75	1	0.87	CHD3	1107
CHEK1(1111)	0	18	2	0.18	CHEK1	1111
CHGB(1114)	0	22	1	0.53	CHGB	1114
CHUK(1147)	0	50	3	0.26	CHUK	1147
COPS5(10987)	0	28	2	0.3	COPS5	10987
COPS6(10980)	0	73	2	0.7	COPS6	10980
CREBBP(1387)	0	199	6	0.59	CREBBP	1387
CRSP3(9439)	0	8	0	1	CRSP3	9439
CSNK2A1(1457)	0	159	8	0.12	CSNK2A1	1457
CTCF(10664)	0	6	1	0.25	CTCF	10664
CTNNB1(1499)	0	120	7	0.06	CTNNB1	1499
DLG1(1739)	0	65	2	0.61	DLG1	1739
DVL2(1856)	0	51	3	0.22	DVL2	1856
E2F1(1869)	0	41	4	0.08	E2F1	1869
E4F1(1877)	0	6	2	0.06	E4F1	1877
EFEMP2(30008)	0	33	2	0.43	EFEMP2	30008
EGFR(1956)	0	138	6	0.28	EGFR	1956
EP300(2033)	0	204	9	0.28	EP300	2033
ESR1(2099)	0	164	5	0.62	ESR1	2099
ESR2(2100)	0	46	2	0.39	ESR2	2100
ETS1(2113)	0	28	0	1	ETS1	2113
ETS2(2114)	0	17	0	1	ETS2	2114
FOS(2353)	0	48	1	0.7	FOS	2353
FOXA1(3169)	0	2	0	1	FOXA1	3169
GAB2(9846)	0	23	0	1	GAB2	9846
GATA3(2625)	0	6	0	1	GATA3	2625
GNA13(10672)	0	30	3	0.06	GNA13	10672
GPS2(2874)	0	16	2	0.1	GPS2	2874
GRB2(2885)	0	188	6	0.53	GRB2	2885
GSK3B(2932)	0	59	5	0.03	GSK3B	2932
GTF2H1(2965)	0	26	3	0.05	GTF2H1	2965
HD(3064)	0	59	2	0.63	HD	3064
HDAC3(8841)	0	57	2	0.52	HDAC3	8841
HIPK2(28996)	0	27	1	0.55	HIPK2	28996
HIST1H1C(3006)	0	2	1	0.02	HIST1H1C	3006
HIST2H2BE(8349)	0	18	1	0.39	HIST2H2BE	8349
HMGB1(3146)	1	52	5	0.02	HMGB1	3146
HRAS(3265)	0	65	2	0.62	HRAS	3265
HSPCA(3320)	0	74	6	0.02	HSPCA	3320
HSPCB(3326)	0	21	2	0.14	HSPCB	3326
IRAK1(3654)	0	36	0	1	IRAK1	3654
IRS1(3667)	0	60	2	0.57	IRS1	3667
IRS2(8660)	1	35	5	0.02	IRS2	8660
IRS4(8471)	0	14	3	0.02	IRS4	8471
JUN(3725)	0	109	1	0.97	JUN	3725
KCNB2(9312)	0	1	0	1	KCNB2	9312
LCK(3932)	0	98	4	0.38	LCK	3932
MAGI2(9863)	0	13	1	0.34	MAGI2	9863
MAP2K4(6416)	1	22	1	0.41	MAP2K4	6416
MAP3K1(4214)	0	1	0	1	MAP3K1	4214
MAP3K8(1326)	0	13	1	0.37	MAP3K8	1326
MAPK1(5594)	0	156	7	0.26	MAPK1	5594
MAPK10(5602)	0	15	3	0	MAPK10	5602
MAPK14(1432)	0	76	4	0.2	MAPK14	1432
MAPK8(5599)	0	63	4	0.13	MAPK8	5599
MAPK8IP3(23162)	0	21	2	0.13	MAPK8IP3	23162
MAPK9(5601)	0	37	4	0.03	MAPK9	5601
MCM7(4176)	0	36	2	0.27	MCM7	4176
MDM2(4193)	0	39	4	0.04	MDM2	4193
MDM4(4194)	0	16	3	0.04	MDM4	4194
MNAT1(4331)	0	18	2	0.1	MNAT1	4331
MNDA(4332)	0	6	2	0.01	MNDA	4332
MST1R(4486)	0	20	1	0.48	MST1R	4486
MYB(4602)	0	17	1	0.36	MYB	4602
MYST4(23522)	1	3	1	0.14	MYST4	23522
NCL(4691)	0	23	1	0.72	NCL	4691
NCOA6(23054)	0	28	1	0.55	NCOA6	23054
NCOR1(9611)	0	47	3	0.15	NCOR1	9611
NF1(4763)	0	7	0	1	NF1	4763
NFKBIA(4792)	0	59	3	0.25	NFKBIA	4792
NPM1(4869)	0	22	1	0.46	NPM1	4869
NR3C1(2908)	0	83	2	0.62	NR3C1	2908
PAX5(5079)	0	14	1	0.3	PAX5	5079
PDGFRB(5159)	0	53	4	0.11	PDGFRB	5159
PHB(5245)	0	14	2	0.1	PHB	5245
PIK3CA(5290)	1	19	3	0.04	PIK3CA	5290
PIK3R1(5295)	0	126	8	0.02	PIK3R1	5295
PIK3R3(8503)	0	11	4	0	PIK3R3	8503
PIWIL1(9271)	0	1	0	1	PIWIL1	9271
PML(5371)	0	50	4	0.05	PML	5371
POLA(5422)	0	13	2	0.06	POLA	5422
PPARBP(5469)	0	27	1	0.58	PPARBP	5469
PPM1A(5494)	0	13	0	1	PPM1A	5494
PPP2CA(5515)	0	44	1	0.77	PPP2CA	5515
PRKAR2A(5576)	0	31	1	0.71	PRKAR2A	5576
PRKCA(5578)	0	168	9	0.08	PRKCA	5578
PRKDC(5591)	0	39	4	0.04	PRKDC	5591
PRKRA(8575)	0	8	2	0.03	PRKRA	8575
PSEN1(5663)	0	50	2	0.46	PSEN1	5663
PTEN(5728)	1	21	4	0	PTEN	5728
PTK2(5747)	0	81	5	0.07	PTK2	5747
PTPN22(26191)	1	3	1	0.09	PTPN22	26191
PTPRD(5789)	0	8	0	1	PTPRD	5789
PTPRF(5792)	0	21	1	0.43	PTPRF	5792
RAC1(5879)	0	89	4	0.41	RAC1	5879
