NodeName	isMutated	degree	neighborVec	pvalue	Gene	EntrezID
ABL1(25)	0	88	5	0.14	ABL1	25
AKAP3(10566)	0	7	0	1	AKAP3	10566
AKT1(207)	0	107	4	0.4	AKT1	207
APLP2(334)	0	10	0	1	APLP2	334
APPL(26060)	0	11	0	1	APPL	26060
AR(367)	0	129	6	0.19	AR	367
ATN1(1822)	0	89	2	0.76	ATN1	1822
ATP2B2(491)	0	6	0	1	ATP2B2	491
ATXN1(6310)	0	159	2	0.93	ATXN1	6310
BCL10(8915)	0	22	0	1	BCL10	8915
BRCA1(672)	0	104	6	0.07	BRCA1	672
BRF1(2972)	0	10	0	1	BRF1	2972
CASP2(835)	0	20	1	0.41	CASP2	835
CASP3(836)	0	126	5	0.25	CASP3	836
CASP8(841)	0	67	1	0.89	CASP8	841
CASP9(842)	0	36	0	1	CASP9	842
CBFA2T2(9139)	0	10	2	0.07	CBFA2T2	9139
CBFB(865)	0	6	0	1	CBFB	865
CBL(867)	0	81	3	0.45	CBL	867
CCNA1(8900)	0	23	0	1	CCNA1	8900
CCNA2(890)	0	26	1	0.44	CCNA2	890
CCND1(595)	0	39	0	1	CCND1	595
CCND2(894)	0	10	0	1	CCND2	894
CCND3(896)	0	24	0	1	CCND3	896
CDC2(983)	0	114	6	0.12	CDC2	983
CDC42(998)	0	79	2	0.68	CDC42	998
CDH1(999)	0	31	1	0.62	CDH1	999
CDK2(1017)	0	71	4	0.11	CDK2	1017
CDK4(1019)	0	40	0	1	CDK4	1019
CDK5(1020)	0	46	1	0.69	CDK5	1020
CDK6(1021)	0	18	0	1	CDK6	1021
CDK9(1025)	0	29	1	0.6	CDK9	1025
CDKN1A(1026)	0	55	1	0.79	CDKN1A	1026
CDKN1B(1027)	0	34	1	0.58	CDKN1B	1027
CEBPB(1051)	0	50	2	0.38	CEBPB	1051
CEBPE(1053)	0	14	0	1	CEBPE	1053
CHD3(1107)	0	75	2	0.63	CHD3	1107
CHEK1(1111)	0	18	0	1	CHEK1	1111
CHGB(1114)	0	22	0	1	CHGB	1114
CHUK(1147)	0	50	2	0.42	CHUK	1147
COPS5(10987)	0	28	1	0.5	COPS5	10987
COPS6(10980)	0	73	2	0.59	COPS6	10980
CREBBP(1387)	0	199	4	0.88	CREBBP	1387
CRSP3(9439)	0	8	0	1	CRSP3	9439
CSNK2A1(1457)	0	159	6	0.3	CSNK2A1	1457
CTCF(10664)	0	6	0	1	CTCF	10664
CTNNB1(1499)	0	120	7	0.04	CTNNB1	1499
DLG1(1739)	0	65	2	0.55	DLG1	1739
DVL2(1856)	0	51	0	1	DVL2	1856
E2F1(1869)	0	41	1	0.66	E2F1	1869
E4F1(1877)	0	6	0	1	E4F1	1877
EFEMP2(30008)	0	33	1	0.7	EFEMP2	30008
EGFR(1956)	0	138	8	0.05	EGFR	1956
EP300(2033)	0	204	6	0.62	EP300	2033
ESR1(2099)	0	164	7	0.17	ESR1	2099
ESR2(2100)	0	46	3	0.1	ESR2	2100
ETS1(2113)	0	28	1	0.58	ETS1	2113
ETS2(2114)	0	17	2	0.08	ETS2	2114
FOS(2353)	0	48	1	0.72	FOS	2353
FOXA1(3169)	0	2	0	1	FOXA1	3169
GAB2(9846)	0	23	1	0.47	GAB2	9846
GATA3(2625)	1	6	1	0.15	GATA3	2625
GNA13(10672)	0	30	1	0.64	GNA13	10672
GPS2(2874)	0	16	0	1	GPS2	2874
GRB2(2885)	0	188	8	0.19	GRB2	2885
GSK3B(2932)	0	59	5	0.06	GSK3B	2932
GTF2H1(2965)	0	26	4	0	GTF2H1	2965
HD(3064)	0	59	2	0.53	HD	3064
HDAC3(8841)	0	57	5	0.03	HDAC3	8841
HIPK2(28996)	0	27	0	1	HIPK2	28996
HIST1H1C(3006)	0	2	0	1	HIST1H1C	3006
HIST2H2BE(8349)	0	18	1	0.41	HIST2H2BE	8349
HMGB1(3146)	0	52	0	1	HMGB1	3146
HRAS(3265)	0	65	4	0.13	HRAS	3265
HSPCA(3320)	0	74	6	0	HSPCA	3320
HSPCB(3326)	0	21	1	0.48	HSPCB	3326
IRAK1(3654)	0	36	1	0.59	IRAK1	3654
IRS1(3667)	0	60	4	0.09	IRS1	3667
IRS2(8660)	0	35	1	0.61	IRS2	8660
IRS4(8471)	0	14	1	0.3	IRS4	8471
JUN(3725)	0	109	1	0.94	JUN	3725
KCNB2(9312)	0	1	0	1	KCNB2	9312
LCK(3932)	0	98	3	0.65	LCK	3932
MAGI2(9863)	0	13	0	1	MAGI2	9863
MAP2K4(6416)	1	22	2	0.13	MAP2K4	6416
MAP3K1(4214)	1	1	1	0.07	MAP3K1	4214
MAP3K8(1326)	0	13	1	0.36	MAP3K8	1326
MAPK1(5594)	0	156	4	0.68	MAPK1	5594
MAPK10(5602)	0	15	1	0.36	MAPK10	5602
MAPK14(1432)	0	76	2	0.63	MAPK14	1432
MAPK8(5599)	0	63	6	0.02	MAPK8	5599
MAPK8IP3(23162)	0	21	2	0.12	MAPK8IP3	23162
MAPK9(5601)	0	37	1	0.74	MAPK9	5601
MCM7(4176)	0	36	3	0.1	MCM7	4176
MDM2(4193)	0	39	2	0.27	MDM2	4193
MDM4(4194)	0	16	0	1	MDM4	4194
MNAT1(4331)	0	18	1	0.4	MNAT1	4331
MNDA(4332)	0	6	0	1	MNDA	4332
MST1R(4486)	0	20	1	0.43	MST1R	4486
MYB(4602)	0	17	0	1	MYB	4602
MYST4(23522)	0	3	0	1	MYST4	23522
NCL(4691)	0	23	1	0.51	NCL	4691
NCOA6(23054)	0	28	0	1	NCOA6	23054
NCOR1(9611)	0	47	2	0.39	NCOR1	9611
NF1(4763)	0	7	1	0.14	NF1	4763
NFKBIA(4792)	0	59	4	0.05	NFKBIA	4792
NPM1(4869)	0	22	0	1	NPM1	4869
NR3C1(2908)	0	83	2	0.65	NR3C1	2908
PAX5(5079)	0	14	0	1	PAX5	5079
PDGFRB(5159)	1	53	5	0.04	PDGFRB	5159
PHB(5245)	0	14	0	1	PHB	5245
PIK3CA(5290)	0	19	2	0.09	PIK3CA	5290
PIK3R1(5295)	1	126	4	0.51	PIK3R1	5295
PIK3R3(8503)	0	11	1	0.27	PIK3R3	8503
PIWIL1(9271)	0	1	0	1	PIWIL1	9271
PML(5371)	0	50	3	0.17	PML	5371
POLA(5422)	0	13	2	0.14	POLA	5422
PPARBP(5469)	0	27	2	0.14	PPARBP	5469
PPM1A(5494)	0	13	1	0.41	PPM1A	5494
PPP2CA(5515)	0	44	2	0.37	PPP2CA	5515
PRKAR2A(5576)	0	31	2	0.18	PRKAR2A	5576
PRKCA(5578)	0	168	8	0.11	PRKCA	5578
PRKDC(5591)	0	39	1	0.63	PRKDC	5591
PRKRA(8575)	0	8	0	1	PRKRA	8575
PSEN1(5663)	0	50	1	0.68	PSEN1	5663
