NodeName	copy	mutations	combined	Gene	EntrezID
1	ACTL6A(86)	1	0	1	ACTL6A	86
2	ACTN2(88)	1	0	1	ACTN2	88
3	ADAMTSL4(54507)	1	0	1	ADAMTSL4	54507
4	ADSS(159)	1	0	1	ADSS	159
5	AFP(174)	1	0	1	AFP	174
6	AKT3(10000)	1	0	1	AKT3	10000
7	ALB(213)	1	0	1	ALB	213
8	AMPD1(270)	1	0	1	AMPD1	270
9	ANXA11(311)	1	0	1	ANXA11	311
10	AP2S1(1175)	1	0	1	AP2S1	1175
11	AP4B1(10717)	1	0	1	AP4B1	10717
12	APBA2(321)	1	0	1	APBA2	321
13	APC2(10297)	1	0	1	APC2	10297
14	ARF4(378)	1	0	1	ARF4	378
15	ARHGEF3(50650)	1	0	1	ARHGEF3	50650
16	ARHGEF7(8874)	1	0	1	ARHGEF7	8874
17	ARID4B(51742)	1	0	1	ARID4B	51742
18	ARL8B(55207)	1	0	1	ARL8B	55207
19	ATP1A1(476)	1	0	1	ATP1A1	476
20	ATP4B(496)	1	0	1	ATP4B	496
21	AURKC(6795)	1	0	1	AURKC	6795
22	BBC3(27113)	1	0	1	BBC3	27113
23	BCAS2(10286)	1	0	1	BCAS2	10286
24	BNIP3(664)	1	0	1	BNIP3	664
25	BRSK1(84446)	1	0	1	BRSK1	84446
26	C19orf25(148223)	1	0	1	C19orf25	148223
27	C5AR1(728)	1	0	1	C5AR1	728
28	CALM3(808)	1	0	1	CALM3	808
29	CAPZA1(829)	1	0	1	CAPZA1	829
30	CASP3(836)	1	0	1	CASP3	836
31	CASQ2(845)	1	0	1	CASQ2	845
32	CCL1(6346)	1	0	1	CCL1	6346
33	CCL11(6356)	1	0	1	CCL11	6356
34	CCL13(6357)	1	0	1	CCL13	6357
35	CCL2(6347)	1	0	1	CCL2	6347
36	CCL7(6354)	1	0	1	CCL7	6354
37	CCL8(6355)	1	0	1	CCL8	6355
38	CCNE1(898)	1	0	1	CCNE1	898
39	CD2(914)	1	0	1	CD2	914
40	CD226(10666)	1	0	1	CD226	10666
41	CD58(965)	1	0	1	CD58	965
42	CDC16(8881)	1	0	1	CDC16	8881
43	CDKN1B(1027)	1	0	1	CDKN1B	1027
44	CEP170(9859)	1	0	1	CEP170	9859
45	CEPT1(10390)	1	0	1	CEPT1	10390
46	CHML(1122)	1	0	1	CHML	1122
47	CHRM3(1131)	1	0	1	CHRM3	1131
48	CIRBP(1153)	1	0	1	CIRBP	1153
49	CNDP1(84735)	1	0	1	CNDP1	84735
50	CNDP2(55748)	1	0	1	CNDP2	55748
51	COL4A1(1282)	1	0	1	COL4A1	1282
52	COL4A2(1284)	1	0	1	COL4A2	1284
53	CPLX1(10815)	1	0	1	CPLX1	10815
54	CSDE1(7812)	1	0	1	CSDE1	7812
55	CTDP1(9150)	1	0	1	CTDP1	9150
56	CTSS(1520)	1	0	1	CTSS	1520
57	CUL4A(8451)	1	0	1	CUL4A	8451
58	CXCL1(2919)	1	0	1	CXCL1	2919
59	CXCL2(2920)	1	0	1	CXCL2	2920
60	CXCL3(2921)	1	0	1	CXCL3	2921
61	CXCL5(6374)	1	0	1	CXCL5	6374
62	CXCL6(6372)	1	0	1	CXCL6	6372
63	CYB5A(1528)	1	0	1	CYB5A	1528
64	CYP2E1(1571)	1	0	1	CYP2E1	1571
65	DAZAP1(26528)	1	0	1	DAZAP1	26528
66	DCT(1638)	1	0	1	DCT	1638
67	DCTD(1635)	1	0	1	DCTD	1635
68	DDX20(11218)	1	0	1	DDX20	11218
69	DGKQ(1609)	1	0	1	DGKQ	1609
70	DHX34(9704)	1	0	1	DHX34	9704
71	DNAJC3(5611)	1	0	1	DNAJC3	5611
72	DOCK9(23348)	1	0	1	DOCK9	23348
73	DPYSL4(10570)	1	0	1	DPYSL4	10570
74	DUSP16(80824)	1	0	1	DUSP16	80824
75	DUX4(22947)	1	0	1	DUX4	22947
76	DZIP1(22873)	1	0	1	DZIP1	22873
77	ECHS1(1892)	1	0	1	ECHS1	1892
78	ECM1(1893)	1	0	1	ECM1	1893
79	EDARADD(128178)	1	0	1	EDARADD	128178
80	EDEM1(9695)	1	0	1	EDEM1	9695
81	EFNA2(1943)	1	0	1	EFNA2	1943
82	EFNB2(1948)	1	0	1	EFNB2	1948
83	EHD2(30846)	1	0	1	EHD2	30846
84	ENSA(2029)	1	0	1	ENSA	2029
85	EPHA6(285220)	0	1	1	EPHA6	285220
86	EPN1(29924)	1	0	1	EPN1	29924
87	EPS8L1(54869)	1	0	1	EPS8L1	54869
88	ERBB2(2064)	1	0	1	ERBB2	2064
89	ERCC5(2073)	1	0	1	ERCC5	2073
90	ERO1LB(56605)	1	0	1	ERO1LB	56605
91	EXO1(9156)	1	0	1	EXO1	9156
92	EXOC4(60412)	0	1	1	EXOC4	60412
93	F10(2159)	1	0	1	F10	2159
94	F11(2160)	1	0	1	F11	2160
95	F7(2155)	1	0	1	F7	2155
96	FAM107A(11170)	1	0	1	FAM107A	11170
97	FAM46C(54855)	1	0	1	FAM46C	54855
98	FGFRL1(53834)	1	0	1	FGFRL1	53834
99	FH(2271)	1	0	1	FH	2271
100	FHIT(2272)	1	0	1	FHIT	2272
101	FLNB(2317)	1	0	1	FLNB	2317
102	FNTA(2339)	1	0	1	FNTA	2339
103	GAK(2580)	1	0	1	GAK	2580
104	GALR1(2587)	1	0	1	GALR1	2587
105	GAS6(2621)	1	0	1	GAS6	2621
106	GBP5(115362)	0	1	1	GBP5	115362
107	GLRB(2743)	0	1	1	GLRB	2743
108	GLTSCR2(29997)	1	0	1	GLTSCR2	29997
109	GNB4(59345)	1	0	1	GNB4	59345
110	GNG4(2786)	1	0	1	GNG4	2786
111	GP6(51206)	1	0	1	GP6	51206
112	GPR77(27202)	1	0	1	GPR77	27202
113	GRB7(2886)	1	0	1	GRB7	2886
114	GREM2(64388)	1	0	1	GREM2	64388
115	GRK1(6011)	1	0	1	GRK1	6011
116	HEATR1(55127)	1	0	1	HEATR1	55127
117	HERC2(8924)	1	0	1	HERC2	8924
118	HESX1(8820)	1	0	1	HESX1	8820
119	HIF3A(64344)	1	0	1	HIF3A	64344
120	HIPK1(204851)	1	0	1	HIPK1	204851
121	HIVEP2(3097)	0	1	1	HIVEP2	3097
122	HMGB1(3146)	1	0	1	HMGB1	3146
123	HSPBP1(23640)	1	0	1	HSPBP1	23640
124	IDUA(3425)	1	0	1	IDUA	3425
125	IGF1R(3480)	1	0	1	IGF1R	3480
126	IKBKB(3551)	1	0	1	IKBKB	3551
127	IL11(3589)	1	0	1	IL11	3589
128	IL17RD(54756)	1	0	1	IL17RD	54756
129	IL8(3576)	1	0	1	IL8	3576
130	ING1(3621)	1	0	1	ING1	3621
131	ING2(3622)	1	0	1	ING2	3622
132	INPP5A(3632)	1	0	1	INPP5A	3632
133	IRF2(3660)	1	0	1	IRF2	3660
134	IRF2BP2(359948)	1	0	1	IRF2BP2	359948
135	IRS2(8660)	1	0	1	IRS2	8660
136	ISOC2(79763)	1	0	1	ISOC2	79763
137	ITPR1(3708)	1	0	1	ITPR1	3708
138	KATNAL1(84056)	1	0	1	KATNAL1	84056
139	KCND3(3752)	1	0	1	KCND3	3752
140	KCNG2(26251)	1	0	1	KCNG2	26251
141	KCNK1(3775)	1	0	1	KCNK1	3775
142	KLF16(83855)	1	0	1	KLF16	83855
143	KLKB1(3818)	1	0	1	KLKB1	3818
144	KPTN(11133)	1	0	1	KPTN	11133
145	LAMP1(3916)	1	0	1	LAMP1	3916
146	LGALS8(3964)	1	0	1	LGALS8	3964
147	LIG4(3981)	1	0	1	LIG4	3981
148	LOH12CR1(118426)	1	0	1	LOH12CR1	118426
149	LRP2BP(55805)	1	0	1	LRP2BP	55805
150	LYST(1130)	1	0	1	LYST	1130
151	MAD1L1(8379)	1	0	1	MAD1L1	8379
152	MAFK(7975)	1	0	1	MAFK	7975
153	MAGI3(260425)	1	0	1	MAGI3	260425
154	MAN1A2(10905)	1	0	1	MAN1A2	10905
155	MAP2K4(6416)	1	0	1	MAP2K4	6416
156	MBD3(53615)	1	0	1	MBD3	53615
157	MBP(4155)	1	0	1	MBP	4155
158	MCF2L(23263)	1	0	1	MCF2L	23263
159	MCL1(4170)	1	0	1	MCL1	4170
160	MEIS3(56917)	1	0	1	MEIS3	56917
161	MGMT(4255)	1	0	1	MGMT	4255
162	MLF1IP(79682)	1	0	1	MLF1IP	79682
163	MTG1(92170)	1	0	1	MTG1	92170
164	MTNR1A(4543)	1	0	1	MTNR1A	4543
165	MTR(4548)	1	0	1	MTR	4548
166	MUC4(4585)	0	1	1	MUC4	4585
167	MYC(4609)	1	0	1	MYC	4609
168	MYST4(23522)	0	1	1	MYST4	23522
169	NAPA(8775)	1	0	1	NAPA	8775
170	NDUFS7(374291)	1	0	1	NDUFS7	374291
171	NFATC1(4772)	1	0	1	NFATC1	4772
172	NHLH2(4808)	1	0	1	NHLH2	4808
173	NID1(4811)	1	0	1	NID1	4811
174	NRAS(4893)	1	0	1	NRAS	4893
175	ODZ1(10178)	0	1	1	ODZ1	10178
176	ODZ3(55714)	1	0	1	ODZ3	55714
177	OLFML3(56944)	1	0	1	OLFML3	56944
178	OVGP1(5016)	1	0	1	OVGP1	5016
179	PARD6G(84552)	1	0	1	PARD6G	84552
180	PCCA(5095)	1	0	1	PCCA	5095
181	PCSK4(54760)	1	0	1	PCSK4	54760
182	PDGFA(5154)	1	0	1	PDGFA	5154
183	PDGFRA(5156)	0	1	1	PDGFRA	5156
184	PDHB(5162)	1	0	1	PDHB	5162
185	PDLIM3(27295)	1	0	1	PDLIM3	27295
186	PEG3(5178)	1	0	1	PEG3	5178
187	PEX5L(51555)	1	0	1	PEX5L	51555
188	PF4(5196)	1	0	1	PF4	5196
189	PIGG(54872)	1	0	1	PIGG	54872
190	PIK3CA(5290)	1	0	1	PIK3CA	5290
191	PLCG1(5335)	0	1	1	PLCG1	5335
