cytoband	8p23.2	13q14.2	1p36.13	19p13.3	3p14.3	11q23.2	10q23.31	17p12	15q12	4q35.2	11p15.5	9p21.3	6q27	2q37.3	17q12	14q24.3	7q36.1	16q24.3	21q11.2	5q11.2	6q15	18q23	6p25.3	10q26.3	11q25	12p13.1	1p21.2	20p13	4p16.3	12q24.31	8p11.21	7p22.3	9p13.1	9p24.1	11q13.1	19q13.32	5q21.3	12q23.1	22q13.32	9q34.3	
q value	4.6582e-41	1.1938e-33	6.1558e-34	4.6831e-29	2.7861e-25	1.9038e-41	1.4533e-27	2.3964e-17	4.7931e-16	8.5786e-14	1.0248e-13	8.7385e-22	1.0516e-17	2.1095e-11	4.1799e-11	5.7945e-10	5.9774e-10	1.6362e-08	1.726e-08	2.2749e-10	6.6742e-11	6.0929e-06	0.00013043	7.5581e-12	1.5845e-36	0.001048	1.2975e-07	0.0035972	0.0040773	1.2171e-06	0.0016166	0.018259	0.00093438	6.1113e-06	0.00011116	0.066785	7.907e-05	5.9217e-05	0.20266	0.11343	
residual q value	1.2268e-40	1.1938e-33	7.0259e-30	4.6831e-29	2.7736e-25	2.4311e-22	2.8137e-22	3.0626e-17	4.7931e-16	8.6431e-14	1.0086e-13	1.3802e-13	1.5973e-13	2.1095e-11	4.8636e-11	5.8299e-10	5.9409e-10	1.6185e-08	1.7882e-08	5.448e-07	1.3219e-06	6.0929e-06	0.00013279	0.00028179	0.00074545	0.0010591	0.0015663	0.0035972	0.0040735	0.0042956	0.012581	0.018039	0.040995	0.046019	0.051592	0.066329	0.12937	0.1409	0.19899	0.23555	
wide peak boundaries	chr8:2079140-6262191	chr13:48833767-49064807	chr1:11321154-23038731	chr19:1103802-1943798	chr3:55883233-61547330	chr11:105010192-118315445	chr10:89615138-90034038	chr17:11896630-12456081	chr15:28096454-31198928	chr4:178911874-191154276	chr11:1-2468266	chr9:21865498-22448737	chr6:167548608-168862573	chr2:237038083-243199373	chr17:31957152-33257606	chr14:65054827-99640110	chr7:151817415-152136074	chr16:88525832-90354753	chr21:1-15482604	chr5:53838110-60632719	chr6:79945370-111983004	chr18:67515151-78077248	chr6:1-7327845	chr10:129922812-135534747	chr11:132204656-135006516	chr12:12418624-13714562	chr1:79319634-119577924	chr20:1-815752	chr4:1-1215099	chr12:113335426-133851895	chr8:42883855-47753079	chr7:1-2344938	chr9:38619152-71152237	chr9:7799607-12693402	chr11:63886540-65684611	chr19:46717474-48279236	chr5:61923094-128802514	chr12:99124001-100431272	chr22:46365895-51304566	chr9:131703171-141213431	
genes in wide peak	CSMD1	RB1	hsa-mir-1256	hsa-mir-1909	ARF4	hsa-mir-4301	PTEN	hsa-mir-744	APBA2	hsa-mir-1305	hsa-mir-483	CDKN2A	GPR31	hsa-mir-3133	CCL1	hsa-mir-3173	MLL3	AFG3L1P	hsa-mir-3118-5	hsa-mir-582	hsa-mir-587	CYB5A	BPHL	hsa-mir-202	OPCML	hsa-mir-614	hsa-mir-942	CSNK2A1	hsa-mir-571	hsa-mir-4304	FNTA	hsa-mir-339	hsa-mir-1299	PTPRD	hsa-mir-612	hsa-mir-3191	hsa-mir-1244-2	ANKS1B	hsa-mir-3201	hsa-mir-602	
		LPAR6	hsa-mir-1290	ATP5D	DNASE1L3	hsa-mir-34c	KLLN	MAP2K4	TJP1	SLC25A4	hsa-mir-675	CDKN2B	KIF25	hsa-mir-149	CCL2	hsa-mir-1260		APRT	hsa-mir-3156-3	hsa-mir-449c	hsa-mir-2113	GALR1	SERPINB1	hsa-mir-378c	IGSF9B	hsa-mir-613	hsa-mir-320b-1	SOX12	ATP5I	hsa-mir-1178	SGK196	GPER	PGM5		hsa-mir-194-2	hsa-mir-320e	hsa-mir-548f-3	FAM71C	hsa-let-7b	hsa-mir-4292	
			ALPL	CIRBP	FHIT	ACAT1		MIR744	HERC2	CASP3	hsa-mir-4298	C9orf53	MLLT4	hsa-mir-4269	CCL7	hsa-mir-625		C16orf3	BAGE	ERCC8	AIM1	MBP	F13A1	hsa-mir-4297	NCAPD3	CDKN1B	hsa-mir-4256	TCF15	DGKQ	hsa-mir-620	HGSNAT	NUDT1	ZNF658		hsa-mir-1237	C5AR1	hsa-mir-548p		ACR	hsa-mir-126	
			C1QA	EFNA2	FLNB	APOA1			FAM189A1	DCTD	hsa-mir-210	CDKN2B-AS1	TCP10	AGXT	CCL8	SERPINA3		CBFA2T3	TPTE	GZMA	AMD1	NFATC1	FOXF2	ADAM8	ACAD8	CREBL2	hsa-mir-197	RBCK1	GAK	ACADS	POTEA	PDGFA	FAM75A7		ARL2	CALM3	hsa-mir-583		ARSA	ABCA2	
			C1QB	GAMT	PDHB	APOA4			DKFZP434L187	F11	AP2A2		C6orf123	KIF1A	CCL11	ACTN1		CDH15	C21orf15	GZMK	BCKDHB	ZNF236	FOXC1	BNIP3	B3GAT1	EMP1	hsa-mir-553	TRIB3	IDUA	BCL7A		PRKAR1B	CNTNAP3		BAD	AP2S1	hsa-mir-2277		CHKB	ABL1	
			C1QC	GPX4	SLMAP	APOC3			NDNL2	ACSL1	ASCL2		UNC93A	BOK	CCL13	ACYP1		CYBA	BAGE5	IL6ST	PRDM1	CTDP1	GMDS	CYP2E1	THYN1	GPR19	hsa-mir-137	NRSN2	MYL5	SCARB1		MAFK	ANKRD20A1		C11orf2	ARHGAP35	hsa-mir-9-2		CPT1B	ABO	
			CAPZB	RPS15	ACOX2	ATM			CHRFAM7A	FAT1	CD81		FRMD1	COL6A3	TMEM132E	ARG2		DPEP1	BAGE4	MAP3K1	CCNC	SOCS6	IRF4	ECHS1	JAM3	GPRC5A	hsa-mir-760	DEFB126	PDE6B	COX6A1		MAD1L1	FAM201A		MRPL49	NPAS1	hsa-mir-4280		TYMP	ASS1	
